label;cv_fold;time;percentage;R2;RMSE;test_monomerA
1;2;42;0.01;0.109930109;0.197156472;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
1;2;42;0.02;0.506855943;0.146752627;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
1;2;42;0.04;0.594860061;0.133015274;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
1;2;42;0.1;0.870257068;0.075273279;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
1;2;42;0.2;0.897628241;0.066863494;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
0;2;421;0.01;0.591582503;0.256615389;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
0;2;421;0.02;0.544955271;0.270867919;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
0;2;421;0.04;0.793417875;0.182505895;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
0;2;421;0.1;0.891870104;0.132039362;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
0;2;421;0.2;0.906162203;0.123004055;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
1;2;421;0.01;-0.040998849;0.213218119;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
1;2;421;0.02;0.679960373;0.118222697;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
1;2;421;0.04;0.78108648;0.097776677;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
1;2;421;0.1;0.821681343;0.088246477;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
1;2;421;0.2;0.910731793;0.062437771;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
0;2;422;0.01;0.479443805;0.289710567;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
0;2;422;0.02;0.768297495;0.193283994;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
0;2;422;0.04;0.833552721;0.163820737;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
0;2;422;0.1;0.862017068;0.149156853;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
0;2;422;0.2;0.922949133;0.111460065;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
1;2;422;0.01;0.266551152;0.178971508;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34
