,finetune_percentage,r2_mean,r2_std,rmse_mean,rmse_std,real_percentage in %
0,0.01,0.0030089367729479516,1.2083492554202757,0.37488719912058927,0.09525276362756141,0.4
1,0.02,0.31387340964601224,0.724480375103811,0.3207361623750034,0.07385562562984985,0.8
2,0.04,0.38562656169238246,0.7656946728201109,0.30113514777369105,0.07941623190762521,1.6
3,0.1,0.6167936632431504,0.31628978590149887,0.2499518151808477,0.06729999653666609,4.0
4,0.2,0.6729701251090329,0.29995499303065737,0.22778520258973242,0.06303401878235024,8.0
