PL;norm;percentage;pretraining;test_monomerA;R2_mean;R2_std;RMSE_mean;RMSE_std
False;1;0.01;False;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12;0.15867736016777062;0.22519644321669557;0.5327574877584481;0.07212732165956112
False;1;0.01;True;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12;0.33215784874066057;0.16547175318445365;0.47488043883771747;0.061803129066669835
False;1;0.02;False;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12;0.6258298477263643;0.07436682443849364;0.35625251683018827;0.03586455699646212
False;1;0.02;True;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12;0.6820838070206191;0.014001641045347513;0.32943618814417325;0.00727673372870204
False;1;0.04;False;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12;0.6432579419036971;0.11874345243618904;0.3455528870114846;0.06018897990199752
False;1;0.04;True;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12;0.7263848015545604;0.08655043367900402;0.3032750331390713;0.04679177664688724
False;1;0.1;False;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12;0.8840187997791212;0.010678977097497;0.19886744624318495;0.009290268137251017
False;1;0.1;True;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12;0.8765535313857731;0.03911698756344104;0.2036785898764919;0.031704271432227885
False;1;0.2;False;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12;0.91741317128179;0.02144686978977243;0.16702455272835037;0.02138692814300733
False;1;0.2;True;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12;0.9250984802244062;0.009449651547080981;0.15972129778626404;0.01001201357447835
