PL;norm;percentage;pretraining;test_monomerA;R2_mean;R2_std;RMSE_mean;RMSE_std
False;1;0.01;False;[*:1]c1ccc([*:2])c2nsnc12;-3.011740558374354;0.4619894600532055;0.4858066664557528;0.027869199253327818
False;1;0.01;True;[*:1]c1ccc([*:2])c2nsnc12;-5.338161314676064;3.2990926975485952;0.5942455364066763;0.17561433166880625
False;1;0.02;False;[*:1]c1ccc([*:2])c2nsnc12;-1.1960655054790987;1.2561493424439005;0.3487926599839419;0.10830683964221839
False;1;0.02;True;[*:1]c1ccc([*:2])c2nsnc12;-0.8765634533152774;0.8962185583819325;0.3263184972887116;0.07895062358071862
False;1;0.04;False;[*:1]c1ccc([*:2])c2nsnc12;-0.32221486889616274;0.22961215516999017;0.2785033492829278;0.02423611938864401
False;1;0.04;True;[*:1]c1ccc([*:2])c2nsnc12;-0.6116814472481961;0.9072775224431623;0.30057051485830216;0.08378157509262583
False;1;0.1;False;[*:1]c1ccc([*:2])c2nsnc12;0.45091707788142354;0.19489161172686562;0.17791446290206156;0.03285214962097465
False;1;0.1;True;[*:1]c1ccc([*:2])c2nsnc12;0.4756431457998163;0.30690896909865106;0.17112077071551846;0.04949146942746189
False;1;0.2;False;[*:1]c1ccc([*:2])c2nsnc12;0.7248754039697203;0.08620152270827552;0.12620000850691637;0.02101682206430725
False;1;0.2;True;[*:1]c1ccc([*:2])c2nsnc12;0.7607280366190464;0.08151641171254903;0.11757291961355067;0.020629121762965497
