PL;norm;percentage;pretraining;test_monomerA;R2_mean;R2_std;RMSE_mean;RMSE_std
False;0;0.01;False;[*:1]c1cc2cc3sc([*:2])cc3cc2s1;0.25328775068292125;0.11261795736822885;0.3432373793926861;0.026479616546789292
False;0;0.01;True;[*:1]c1cc2cc3sc([*:2])cc3cc2s1;0.4683057815461887;0.07492900830915933;0.28970523355650535;0.020904457432871296
False;0;0.02;False;[*:1]c1cc2cc3sc([*:2])cc3cc2s1;0.4740664836086496;0.19677229185758902;0.28538178526529373;0.05289414491864775
False;0;0.02;True;[*:1]c1cc2cc3sc([*:2])cc3cc2s1;0.5586165473085142;0.07332315917927992;0.2637979503661234;0.02210839904799354
False;0;0.04;False;[*:1]c1cc2cc3sc([*:2])cc3cc2s1;0.5734685983505128;0.06234049565687576;0.25946897823573756;0.018914073492329337
False;0;0.04;True;[*:1]c1cc2cc3sc([*:2])cc3cc2s1;0.6411173748073614;0.14073695142009543;0.23554690527078578;0.04524472370023055
False;0;0.1;False;[*:1]c1cc2cc3sc([*:2])cc3cc2s1;0.8072575928236206;0.08338237285630032;0.17212111758463888;0.036839186797524855
False;0;0.1;True;[*:1]c1cc2cc3sc([*:2])cc3cc2s1;0.8419371238086484;0.05011229734196528;0.15674727185513845;0.026480525622356994
False;0;0.2;False;[*:1]c1cc2cc3sc([*:2])cc3cc2s1;0.9069933336505804;0.018616838349916287;0.12097751190639228;0.012044488664890423
False;0;0.2;True;[*:1]c1cc2cc3sc([*:2])cc3cc2s1;0.9068206305031822;0.015938756646834973;0.12117568366579294;0.010682796037871305
