PL;norm;percentage;pretraining;test_monomerA;R2_mean;R2_std;RMSE_mean;RMSE_std
False;0;0.01;False;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2;-0.4428491199268381;0.47526600391321017;0.5916455595706006;0.099242529683418
False;0;0.01;True;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2;-0.24437204065387777;0.45981521024085215;0.5472664375074432;0.10991996339705143
False;0;0.02;False;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2;0.31803799496125046;0.16762279117260667;0.4084450005615759;0.05085993009648073
False;0;0.02;True;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2;0.45473672537044724;0.0771912036035887;0.3664787371858173;0.026241259326109403
False;0;0.04;False;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2;0.20761254159240153;0.0896381045507427;0.44206743705324164;0.025118668992356027
False;0;0.04;True;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2;0.2165929532139547;0.27823118524605395;0.4354395265784474;0.07762502233877548
False;0;0.1;False;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2;0.7701390125068749;0.1850660925444199;0.22625167199908222;0.09183116007515611
False;0;0.1;True;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2;0.6557725156795762;0.13129457080896467;0.28824786173785627;0.05465525911295414
False;0;0.2;False;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2;0.8147428806154662;0.128197804937601;0.20604174136748563;0.07072229027120487
False;0;0.2;True;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2;0.800429735803248;0.03819719604856809;0.22138568959729996;0.021688719871675182
