PL;norm;percentage;pretraining;test_monomerA;R2_mean;R2_std;RMSE_mean;RMSE_std
False;0;0.01;False;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34;0.07032766929519729;0.19063881594722523;0.3857167339059335;0.0409679799039512
False;0;0.01;True;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34;0.21874389442739087;0.3283562368780091;0.35007051624059643;0.07159221969667978
False;0;0.02;False;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34;0.40079051252484454;0.059828690601843815;0.3105709285599776;0.015473775544260592
False;0;0.02;True;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34;0.29492904494945354;0.1915287251558834;0.33520863988404903;0.044459020358607985
False;0;0.04;False;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34;0.24397781586103848;0.6814511667812517;0.3270784735280822;0.14958640430997314
False;0;0.04;True;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34;0.38533511541349763;0.5077586463519161;0.29824725897125215;0.12341673441291538
False;0;0.1;False;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34;0.8324593812708637;0.04244198887781842;0.16347084352041386;0.020885496991338542
False;0;0.1;True;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34;0.7929584929966905;0.08305399692468994;0.18037606081752844;0.0356429613535394
False;0;0.2;False;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34;0.8886044088075321;0.024750760466790707;0.13349425862658276;0.01450289553571013
False;0;0.2;True;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34;0.876639311041273;0.024358872625366828;0.14057670385190493;0.013874273019480202
