PL;norm;percentage;pretraining;test_monomerA;R2_mean;R2_std;RMSE_mean;RMSE_std
False;0;0.01;False;[*:1]c1ccc([*:2])c2nsnc12;-3.011740558374354;0.4619894600532055;0.4858066664557528;0.027869199253327818
False;0;0.01;True;[*:1]c1ccc([*:2])c2nsnc12;-3.4079289209347707;1.129661006875751;0.5070227476946522;0.06495176565004807
False;0;0.02;False;[*:1]c1ccc([*:2])c2nsnc12;-1.1960655054790987;1.2561493424439005;0.3487926599839419;0.10830683964221839
False;0;0.02;True;[*:1]c1ccc([*:2])c2nsnc12;-0.9487611505394961;0.9404757844347833;0.33292626544754583;0.07799993657126189
False;0;0.04;False;[*:1]c1ccc([*:2])c2nsnc12;-0.3381422621437002;0.22966768327675244;0.28017969297921863;0.02431364559227679
False;0;0.04;True;[*:1]c1ccc([*:2])c2nsnc12;-0.6418143106723461;1.3445881172267984;0.2947745098518186;0.12190227960963938
False;0;0.1;False;[*:1]c1ccc([*:2])c2nsnc12;0.43673660938282627;0.17319757356492954;0.18075183410207032;0.028405048374983494
False;0;0.1;True;[*:1]c1ccc([*:2])c2nsnc12;0.47714736723614987;0.25973052806475116;0.1722651542304355;0.041556322795657456
False;0;0.2;False;[*:1]c1ccc([*:2])c2nsnc12;0.7248754039697203;0.08620152270827552;0.12620000850691637;0.02101682206430725
False;0;0.2;True;[*:1]c1ccc([*:2])c2nsnc12;0.6758312377876079;0.08815704504811889;0.13733967552666157;0.019376290714376826
