PL;norm;percentage;pretraining;test_monomerA;R2_mean;R2_std;RMSE_mean;RMSE_std
False;0;0.01;False;[*:1]c1cc(F)c([*:2])cc1F;-0.35012926774272696;0.5794361539573295;0.5991404106615218;0.14296298627045545
False;0;0.01;True;[*:1]c1cc(F)c([*:2])cc1F;-0.15876252376694913;0.5376720830672854;0.555678147938065;0.12848271059735605
False;0;0.02;False;[*:1]c1cc(F)c([*:2])cc1F;0.4976803580222376;0.21911956071328914;0.3668187164172179;0.07812545053700938
False;0;0.02;True;[*:1]c1cc(F)c([*:2])cc1F;0.6357910594209201;0.101591132205638;0.3150544832672442;0.043324202277754714
False;0;0.04;False;[*:1]c1cc(F)c([*:2])cc1F;0.6443143660630143;0.17807376979350129;0.3071360440025852;0.07575546909639233
False;0;0.04;True;[*:1]c1cc(F)c([*:2])cc1F;0.7076905127873637;0.13817267115893747;0.2791454841947816;0.0641838291830439
False;0;0.1;False;[*:1]c1cc(F)c([*:2])cc1F;0.8713549461578838;0.01676285374787734;0.18816034975760798;0.01211362767967238
False;0;0.1;True;[*:1]c1cc(F)c([*:2])cc1F;0.8841770062886279;0.004829723892788247;0.17875777874267074;0.0037348954401311128
False;0;0.2;False;[*:1]c1cc(F)c([*:2])cc1F;0.9176082764979877;0.016427286961907036;0.15025615905976383;0.015526284340895147
False;0;0.2;True;[*:1]c1cc(F)c([*:2])cc1F;0.9069139129097912;0.02872248629249327;0.15900549583284837;0.024683907409934255
