PL;norm;percentage;pretraining;R2_mean;R2_std;RMSE_mean;RMSE_std
False;0;0.01;False;-0.442430378278624;1.0281642283939256;0.495125314413734;0.16800641097687247
False;0;0.01;True;-0.35663988337427005;1.2712308578821325;0.44982044744642175;0.12873851328119237
False;0;0.02;False;0.2058939805907222;0.6919522222326322;0.352931967595849;0.08332916711460232
False;0;0.02;True;0.25764279647314375;0.580129989045922;0.34157615506398503;0.0628958589219234
False;0;0.04;False;0.3029945919810923;0.4958677114013921;0.3318424696787826;0.08878462687312913
False;0;0.04;True;0.36228854051609116;0.6164127249834549;0.309177641658913;0.0862782004658073
False;0;0.1;False;0.7821218392700835;0.15295787776229414;0.18843964919896689;0.04350415007125814
False;0;0.1;True;0.7852732593232362;0.15558863557332817;0.18902386605562585;0.05202666543875416
False;0;0.2;False;0.8735650928088058;0.07748054004244291;0.14801892889663118;0.042765575134551495
False;0;0.2;True;0.8678386834145138;0.08571511097926893;0.14900471028691586;0.03889622236710721
