R2;RMSE;test_monomerA;PL;norm;seeds;percentage;pretraining
0.6363253919799677;0.2400127471895418;[*:1]c1cc2cc3sc([*:2])cc3cc2s1;False;0;42;0.02;False
0.3378931192651687;0.3267341862209846;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34;False;0;42;0.02;False
-1.0025423233642807;0.5187220476725558;[*:1]c1ccc(-c2ccc([*:2])s2)s1;False;0;42;0.02;False
0.0603627672638835;0.2353710538636168;[*:1]c1ccc([*:2])c2nsnc12;False;0;42;0.02;False
0.3177462279816118;0.5096009931520067;[*:1]c1ccc([*:2])cc1;False;0;42;0.02;False
0.4853120879606607;0.3566634457111138;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2;False;0;42;0.02;False
0.1118137395053162;0.3366858131657194;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2;False;0;42;0.02;False
0.6217116661635476;0.3594157238333395;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12;False;0;42;0.02;False
0.933650190559649;0.135316446132471;[*:1]c1cc(F)c([*:2])cc1F;False;0;42;0.2;True
0.8988936028519334;0.1265514529356663;[*:1]c1cc2cc3sc([*:2])cc3cc2s1;False;0;42;0.2;True
0.8795562586856185;0.1393550287537071;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34;False;0;42;0.2;True
0.9062970320948032;0.1122071493485829;[*:1]c1ccc(-c2ccc([*:2])s2)s1;False;0;42;0.2;True
0.6579950837122637;0.1420002528846141;[*:1]c1ccc([*:2])c2nsnc12;False;0;42;0.2;True
0.8985578907920839;0.1965017526342131;[*:1]c1ccc([*:2])cc1;False;0;42;0.2;True
0.8421710385467678;0.1975058510906694;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2;False;0;42;0.2;True
0.8131439400723529;0.1544281202781509;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2;False;0;42;0.2;True
0.935406531303482;0.1485182770121866;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12;False;0;42;0.2;True
0.7177855220074212;0.2790746496673113;[*:1]c1cc(F)c([*:2])cc1F;False;0;42;0.02;True
0.5552846938876046;0.2654109624014336;[*:1]c1cc2cc3sc([*:2])cc3cc2s1;False;0;42;0.02;True
0.3851369595260701;0.3148616164250992;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34;False;0;42;0.02;True
0.1655226187219642;0.3348506455406893;[*:1]c1ccc(-c2ccc([*:2])s2)s1;False;0;42;0.02;True
-0.4075018781420312;0.2880696034665582;[*:1]c1ccc([*:2])c2nsnc12;False;0;42;0.02;True
0.4642709404157534;0.4515750048092591;[*:1]c1ccc([*:2])cc1;False;0;42;0.02;True
0.4442518278121583;0.370617257641502;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2;False;0;42;0.02;True
-0.5517846695182187;0.4450292129371135;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2;False;0;42;0.02;True
0.4892184156265248;0.4176410839072627;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12;False;0;42;0.02;True
0.7124272353073428;0.2817115282515005;[*:1]c1cc(F)c([*:2])cc1F;False;0;42;0.04;False
0.631303065493781;0.2416643460876083;[*:1]c1cc2cc3sc([*:2])cc3cc2s1;False;0;42;0.04;False
-0.5399058019194223;0.4982847596066457;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34;False;0;42;0.04;False
0.2161250775126122;0.3245392597171657;[*:1]c1ccc(-c2ccc([*:2])s2)s1;False;0;42;0.04;False
-0.5591365191432622;0.3031900993137991;[*:1]c1ccc([*:2])c2nsnc12;False;0;42;0.04;False
0.7098742039220738;0.3323153984244866;[*:1]c1ccc([*:2])cc1;False;0;42;0.04;False
0.2990396341834883;0.4162299702161526;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2;False;0;42;0.04;False
-1.0061086740027565;0.5059994205872748;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2;False;0;42;0.04;False
0.5350859695199524;0.3984482513255324;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12;False;0;42;0.04;False
0.7771676304943997;0.247981842503749;[*:1]c1cc(F)c([*:2])cc1F;False;0;42;0.04;True
0.7454225999618673;0.2008111122400232;[*:1]c1cc2cc3sc([*:2])cc3cc2s1;False;0;42;0.04;True
-0.1988455703759162;0.4396551330610795;[*:1]c1cc2ccc3cc([*:2])cc4ccc(c1)c2c34;False;0;42;0.04;True
0.459962016742743;0.2693742070862192;[*:1]c1ccc(-c2ccc([*:2])s2)s1;False;0;42;0.04;True
-2.181565978783297;0.4331052122089071;[*:1]c1ccc([*:2])c2nsnc12;False;0;42;0.04;True
0.6483050889277993;0.3658814024579396;[*:1]c1ccc([*:2])cc1;False;0;42;0.04;True
0.4669227530746923;0.3629791587405285;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2;False;0;42;0.04;True
-0.5197219295550441;0.4404076527206021;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2;False;0;42;0.04;True
0.7355845901910172;0.3004892775982049;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12;False;0;42;0.04;True
0.8524138736982995;0.2018150316002139;[*:1]c1cc(F)c([*:2])cc1F;False;0;421;0.1;False
