,label,percentage,true_percentage,mean_R2,std_R2,mean_RMSE,std_RMSE,source
0,0,0.001,0.04,-18.037660446166992,1.4248456070315385,2.6162977345825733,0.092517765082478,No_SS
1,0,0.002,0.08,0.3270045256614685,0.08164332196702209,0.4914011608675776,0.028517359355655955,No_SS
2,0,0.004,0.16,0.29629547595977784,0.08190568942955646,0.5025236127327006,0.028335267370723685,No_SS
3,0,0.006,0.24,0.5648835587501526,0.04252467951638355,0.3953252373830396,0.018465417026583775,No_SS
4,0,0.008,0.32,0.5488123178482056,0.0605692994540022,0.4021064935715607,0.02606406768245505,No_SS
5,0,0.01,0.4,0.6129840612411499,0.051489968614777205,0.3725048765489122,0.02419890632891021,No_SS
6,0,0.02,0.8,0.643782639503479,0.04286032321765848,0.3575383880867177,0.020815114472394612,No_SS
7,0,0.04,1.6,0.7249403429031372,0.04294343759536501,0.3137961051899104,0.023690137864434756,No_SS
8,0,0.06,2.4,0.7894092583656311,0.03446886089969162,0.27444232602100344,0.022527808039896735,No_SS
9,0,0.08,3.2,0.8735086417198181,0.03380554119303217,0.2114128770821163,0.02939162206479498,No_SS
10,0,0.1,4.0,0.9057263898849487,0.02991519480948613,0.1819845984942018,0.028713478836717304,No_SS
11,0,0.2,8.0,0.9694953179359436,0.005812669953588816,0.10436570476152646,0.009691957427936358,No_SS
12,0,0.4,16.0,0.9828270959854126,0.0025676384778271265,0.07843000596111228,0.005667656201168476,No_SS
13,0,0.6,24.0,0.9850465440750122,0.0025466398722172033,0.07313338265146324,0.006114591359486798,No_SS
14,0,0.8,32.0,0.9859724116325378,0.0021324631011333463,0.07089598694518935,0.005262918198814817,No_SS
15,0,1.0,40.0,0.9877284574508667,0.0017657568115656453,0.06631544982728041,0.004795030184605465,No_SS
16,0,0.001,0.04,-18.10813179016113,1.2878715453905278,2.6215208847128832,0.08531868363448844,N-SSL
17,0,0.002,0.08,0.41411863088607787,0.10578785735771262,0.45741413238588363,0.04000087153192855,N-SSL
18,0,0.004,0.16,0.4151679801940918,0.15428097927588577,0.45561476392846756,0.05461861730755125,N-SSL
19,0,0.006,0.24,0.5993723130226135,0.06460456252417997,0.37874168377512396,0.027957630616289898,N-SSL
20,0,0.008,0.32,0.6348853898048401,0.047432354738588665,0.36182259192604277,0.022656600069615073,N-SSL
21,0,0.01,0.4,0.6362463068962098,0.05256825459347837,0.36092727594673485,0.02485709011049557,N-SSL
22,0,0.02,0.8,0.7414613962173462,0.04846726209575092,0.30385653408733915,0.027206235943300756,N-SSL
23,0,0.04,1.6,0.8390048766136169,0.025704493163606103,0.24000385692503992,0.01932093006994437,N-SSL
24,0,0.06,2.4,0.8909466123580932,0.02067259338706285,0.19729315617837254,0.018912048188918208,N-SSL
25,0,0.08,3.2,0.9257666277885437,0.014808582960654196,0.16270146145072883,0.01618842718105271,N-SSL
26,0,0.1,4.0,0.9444528675079346,0.009554038154921436,0.1409254520907762,0.012158645201351646,N-SSL
27,0,0.2,8.0,0.9742336773872375,0.004209199816902756,0.09602509421021325,0.007636137898881459,N-SSL
28,0,0.4,16.0,0.9840135240554809,0.002895328796783253,0.07560843530551209,0.0065096161164793125,N-SSL
29,0,0.6,24.0,0.9859801602363586,0.0028005337967604003,0.07074734852527853,0.00659362037455526,N-SSL
30,0,0.8,32.0,0.9873922562599182,0.0018801494975110114,0.06719966010594484,0.005069041514896624,N-SSL
31,0,1.0,40.0,0.9888237547874451,0.0016884238191613309,0.06328478319782217,0.004580531909641143,N-SSL
32,0,0.001,0.04,-17.20172409057617,1.682024770619011,2.557646200582481,0.1199545704869837,NG-SSL
33,0,0.002,0.08,0.5428361177444458,0.07031269804967466,0.40447629469386714,0.03100302171375262,NG-SSL
34,0,0.004,0.16,0.5860844469070434,0.05701734058269212,0.385121841355959,0.026194296553395113,NG-SSL
35,0,0.006,0.24,0.6723646211624146,0.030162308389330473,0.3431386617628273,0.015369603743970476,NG-SSL
36,0,0.008,0.32,0.6840793132781983,0.03241202439576009,0.33687209255754935,0.0175729390158079,NG-SSL
37,0,0.01,0.4,0.6956540369987487,0.03955353708437057,0.3303480785268046,0.021701917048105035,NG-SSL
38,0,0.02,0.8,0.763981761932373,0.03319095473337189,0.2908270502514094,0.01997009650851723,NG-SSL
39,0,0.04,1.6,0.8527787089347839,0.030188622916623425,0.2291056521681874,0.02343013557049527,NG-SSL
40,0,0.06,2.4,0.9004762649536133,0.017491129945629742,0.18857599795132077,0.01705259769182023,NG-SSL
41,0,0.08,3.2,0.9343942189216614,0.012186814028758694,0.1530723792550668,0.014688117772284466,NG-SSL
42,0,0.1,4.0,0.9547077298164368,0.007160901334981139,0.12733345083015388,0.010229688851457513,NG-SSL
43,0,0.2,8.0,0.9770452451705932,0.003491756820024487,0.0906669689530496,0.00699929425936087,NG-SSL
44,0,0.4,16.0,0.9837674474716187,0.002060132376113596,0.07631687912390243,0.004911147751985313,NG-SSL
45,0,0.6,24.0,0.9859726023674011,0.0024271017753304197,0.07083984998181488,0.005925713092034354,NG-SSL
46,0,0.8,32.0,0.9875290417671203,0.0017717562290656761,0.06685409343814194,0.004657823414968124,NG-SSL
47,0,1.0,40.0,0.9876857376098633,0.001316732893090348,0.06649877944581266,0.0035614445842189115,NG-SSL
