,finetune_percentage,prc_mean,prc_std
0,0.04,0.5800762794637682,0.02848988321882854
1,0.08,0.64174298511421,0.033063169530417075
2,0.12,0.6620447184630549,0.019776426180583777
3,0.16,0.6715437398374884,0.022378338975704494
4,0.24,0.6914586488736872,0.01976305352661127
5,0.32,0.6997713641359821,0.019330672650853472
6,0.48,0.7153277038243762,0.02068983217787577
7,0.8,0.7299788320200414,0.01284815435952514
