R2;RMSE;PL;norm;seeds;percentage;pretraining
0.4364824891090393;0.4556315744446356;True;0;422;0.01;False
0.5769404172897339;0.389170379695837;True;0;422;0.01;False
0.5947977304458618;0.3836867412032078;True;0;422;0.01;False
0.48367005586624146;0.4310223047410605;True;0;422;0.01;False
0.4739838242530823;0.44550021715726174;True;0;422;0.01;False
0.33833277225494385;0.49371907946186094;True;1;422;0.01;False
0.5764230489730835;0.3894082574433679;True;1;422;0.01;False
0.4824727177619934;0.4336181839940296;True;1;422;0.01;False
0.6428040266036987;0.35850016218312103;True;1;422;0.01;False
0.466907262802124;0.4484869095700419;True;1;422;0.01;False
0.7510960698127747;0.30281401786384415;True;1;422;0.02;False
0.7890720963478088;0.2747932068379361;True;1;422;0.02;False
0.7647406458854675;0.29235755745083897;True;1;422;0.02;False
0.7570997476577759;0.2956310612740649;True;1;422;0.02;False
0.7591074109077454;0.3014811139154031;True;1;422;0.02;False
0.7279458045959473;0.31658316011031645;True;0;422;0.02;False
0.7158734798431396;0.31892965293513864;True;0;422;0.02;False
0.7121425867080688;0.32339221664990286;True;0;422;0.02;False
0.7339775562286377;0.3093821438051274;True;0;422;0.02;False
0.777276873588562;0.2898885419839931;True;0;422;0.02;False
0.836995005607605;0.2450533019929772;True;1;422;0.04;False
0.8211005330085754;0.2530716457179322;True;1;422;0.04;False
0.8253549933433533;0.2518946705513358;True;1;422;0.04;False
0.7994202375411987;0.26864551742128867;True;1;422;0.04;False
0.8808282613754272;0.21204841327847135;True;1;422;0.04;False
0.8316186666488647;0.24906179095350398;True;0;422;0.04;False
0.8225757479667664;0.2520260816116289;True;0;422;0.04;False
0.8567702174186707;0.2281169266121313;True;0;422;0.04;False
0.8363746404647827;0.24263941993244634;True;0;422;0.04;False
0.791905403137207;0.28020687841489117;True;0;422;0.04;False
0.917904794216156;0.17390775463964825;True;0;422;0.1;False
0.9471627473831177;0.13753372884092693;True;0;422;0.1;False
0.8520885705947876;0.2318150829907684;True;0;422;0.1;False
0.9091782569885254;0.18077191407043022;True;0;422;0.1;False
0.9412167072296143;0.1489276573188057;True;0;422;0.1;False
0.9197883009910583;0.1719011969542287;True;1;422;0.1;False
0.927564799785614;0.16103261664558513;True;1;422;0.1;False
0.9475803971290588;0.13800277606834221;True;1;422;0.1;False
0.9146102070808411;0.1752826878925147;True;1;422;0.1;False
0.9167966842651367;0.17718164202175016;True;1;422;0.1;False
0.5497885942459106;0.4072568228110869;True;1;421;0.01;False
0.4691365957260132;0.43594367935559203;True;1;421;0.01;False
0.4177548885345459;0.4599321684374758;True;1;421;0.01;False
0.13325071334838867;0.5584481056115672;True;1;421;0.01;False
0.55751633644104;0.40859869448877567;True;1;421;0.01;False
0.4540075659751892;0.44849068063815767;True;0;421;0.01;False
0.5874917507171631;0.384286650141439;True;0;421;0.01;False
0.5099443197250366;0.4219525407244305;True;0;421;0.01;False
0.581861138343811;0.38787904704813514;True;0;421;0.01;False
0.5370661020278931;0.4179341489070799;True;0;421;0.01;False
0.782474160194397;0.28308414722380276;True;0;421;0.02;False
0.7634780406951904;0.29098774309169884;True;0;421;0.02;False
0.7638605237007141;0.29290391840444774;True;0;421;0.02;False
0.7878159880638123;0.2763073455400533;True;0;421;0.02;False
0.6143748164176941;0.3814442569622352;True;0;421;0.02;False
0.613023042678833;0.3775745073267909;True;1;421;0.02;False
0.8120882511138916;0.2593677600171862;True;1;421;0.02;False
0.7519302368164062;0.3002118256891034;True;1;421;0.02;False
0.7708780765533447;0.2871239587103131;True;1;421;0.02;False
0.7894983291625977;0.28182283980401945;True;1;421;0.02;False
0.8369852900505066;0.24506060642550875;True;1;421;0.04;False
0.87550950050354;0.21110914452338128;True;1;421;0.04;False
0.8024863004684448;0.267879511262517;True;1;421;0.04;False
0.8309093117713928;0.24665840401428454;True;1;421;0.04;False
0.8158819079399109;0.2635703986542288;True;1;421;0.04;False
0.8160289525985718;0.2603363564952131;True;0;421;0.04;False
0.8833621740341187;0.20434247633050986;True;0;421;0.04;False
0.8643584847450256;0.2219919198870451;True;0;421;0.04;False
0.8721070885658264;0.2145158085471827;True;0;421;0.04;False
0.8983994126319885;0.1957927045797339;True;0;421;0.04;False
0.925981879234314;0.16513122152408594;True;1;421;0.1;False
0.9380186200141907;0.1489599720213415;True;1;421;0.1;False
0.9452725648880005;0.14100790213996778;True;1;421;0.1;False
0.9420891404151917;0.1443497510502072;True;1;421;0.1;False
0.9412909746170044;0.1488335683533054;True;1;421;0.1;False
0.7883414030075073;0.27924030237853215;True;0;421;0.1;False
0.9390627145767212;0.1476999959780706;True;0;421;0.1;False
0.9470551013946533;0.13869247820748415;True;0;421;0.1;False
0.9407839179039001;0.14596739139181875;True;0;421;0.1;False
0.9604013562202454;0.12223304963566693;True;0;421;0.1;False
0.5752664804458618;0.3955654902846186;True;0;421;0.01;True
0.7031525373458862;0.3259910493423516;True;0;421;0.01;True
0.7157760858535767;0.3213447360237216;True;0;421;0.01;True
0.6802629828453064;0.3391818034444231;True;0;421;0.01;True
0.7180628776550293;0.3261553366117306;True;0;421;0.01;True
0.6079904437065125;0.38002174406205835;True;1;421;0.01;True
0.6148049831390381;0.37134649804727743;True;1;421;0.01;True
0.6002642512321472;0.3810898303666721;True;1;421;0.01;True
0.6810779571533203;0.338749230162249;True;1;421;0.01;True
0.581182062625885;0.3975218555152143;True;1;421;0.01;True
0.8032327890396118;0.2692380499051843;True;0;421;0.02;True
0.8043248653411865;0.2646712543181428;True;0;421;0.02;True
0.7980557680130005;0.27086729820948746;True;0;421;0.02;True
0.7623363733291626;0.29242698167626946;True;0;421;0.02;True
0.8405799865722656;0.24525606544967718;True;0;421;0.02;True
0.8288129568099976;0.2511282436508848;True;1;421;0.02;True
0.7544821500778198;0.2964698385864229;True;1;421;0.02;True
0.8248606324195862;0.2522509094085784;True;1;421;0.02;True
0.7929942011833191;0.272914959390168;True;1;421;0.02;True
0.8297885060310364;0.25342112926945204;True;1;421;0.02;True
