r2_train,r2_val,fold,seed_set,finetune_percentage,rmse_train,rmse_val
0.9627912464037567,0.7523738920446994,0,0,0.01,0.10940599983280187,0.29985187032279764
0.972298056467489,0.7496686899063715,1,0,0.01,0.09600971732082503,0.3010930983849499
0.9644006402154797,0.8250417055758117,2,0,0.01,0.11139273151555613,0.25415729584267654
0.9716943768945793,0.7953377266491162,3,0,0.01,0.10082859665516582,0.27011288580381193
0.9673995862173826,0.7610414777602281,4,0,0.01,0.10875979108767339,0.2953156986888574
0.9717697543314014,0.8226637170440314,0,0,0.02,0.09807533805417296,0.25375075718400597
0.9771547028126955,0.7961407331086366,1,0,0.02,0.08679167633176828,0.27171176508526673
0.9748007935930284,0.849382707949228,2,0,0.02,0.0927210815119321,0.2358157079054681
0.9746147253420019,0.8205527465100405,3,0,0.02,0.09237684793447054,0.25292677920492834
0.9724012407303209,0.8288914867242916,4,0,0.02,0.09953510171724635,0.2498970222967653
0.9797295439152334,0.8703596692409665,0,0,0.04,0.0840227233073596,0.21695947008039246
0.9800644189753157,0.8421648219807775,1,0,0.04,0.08383984484826408,0.23908102929247008
0.9816006501932191,0.8828237013902703,2,0,0.04,0.08084445801996284,0.20799610416397832
0.9823075126581555,0.8616207121102196,3,0,0.04,0.07926630866480149,0.22210684934229247
0.9809502126836533,0.8856120895093992,4,0,0.04,0.08190082397950375,0.20432209631796583
0.988118430961545,0.9075868178913928,0,0,0.1,0.06514092341329408,0.1831789261054375
0.9880435650690039,0.9039313964633633,1,0,0.1,0.06603709399163113,0.18652367069688633
0.98698928103641,0.9249208107723991,2,0,0.1,0.0690544217111671,0.16649266306692403
0.9885479900059891,0.9118999282839874,3,0,0.1,0.06402332785555341,0.1772207364018198
0.98768864096721,0.9242500341541384,4,0,0.1,0.06637370870993332,0.16627099396381065
0.991912463334508,0.9369089308653825,0,0,0.2,0.05405176716824625,0.15135350745550027
0.9917503058270705,0.938103631116022,1,0,0.2,0.05479614922441284,0.14971861493077956
0.9916323763982606,0.9505627899682262,2,0,0.2,0.054995640897233425,0.135102159112467
0.991918495781033,0.9363571247104672,3,0,0.2,0.05353566545402251,0.15062647126271825
0.9923022691158434,0.9487901848155278,4,0,0.2,0.05296932219260742,0.13671050153433612
0.9688530085598067,0.7352915938608107,0,1,0.01,0.0973758825243297,0.31002192799190653
0.9677551969633618,0.7776084164837962,1,1,0.01,0.11372483520616734,0.283793463479942
0.9658435152886099,0.7726230031160926,2,1,0.01,0.10823686663884184,0.28974008020014796
0.96063245946447,0.7640414188381683,3,1,0.01,0.12228677359453531,0.2900309157862663
0.9710274343544549,0.7956764802929102,4,1,0.01,0.10240665582912509,0.2730765786103311
0.9736646659392936,0.8100595332267044,0,1,0.02,0.09128597058717675,0.2626136504947768
0.9753538007824688,0.8019093277041317,1,1,0.02,0.09729791619838013,0.2678398713095558
0.9712574624478364,0.8201290978767302,2,1,0.02,0.09687414110321323,0.257700801515213
0.9715169517227361,0.8299597498087656,3,1,0.02,0.10192127845453021,0.24620806419152297
0.9800391506303185,0.841718672750354,4,1,0.02,0.08467106872540901,0.2403477793969331
0.9821450100180397,0.8620832486071411,0,1,0.04,0.07974062774665318,0.2237778287294746
0.9828144890522849,0.8595854788467071,1,1,0.04,0.08164522246552045,0.22550139159498866
0.9799130921892635,0.8872345290429074,2,1,0.04,0.08472549689647839,0.20404379010352042
0.9792405043782775,0.8647258125454187,3,1,0.04,0.0864069773681289,0.21960077721686677
0.9805411656183095,0.884014898110016,4,1,0.04,0.08292736534089763,0.20574361982653094
0.9879358817833028,0.9086874397116099,0,1,0.1,0.06549853620270665,0.18208484728789684
0.9893701215920688,0.9046847133778834,1,1,0.1,0.0628650198483954,0.185790923631387
0.9872130550640044,0.9274882183339577,2,1,0.1,0.06717013987029924,0.1636212103765781
0.9878870971277117,0.9114252359187643,3,1,0.1,0.06563457940422275,0.17769753689780382
0.9880688427570629,0.9210452807337404,4,1,0.1,0.06503233745090206,0.16975177304783215
0.9918095327089914,0.9368296108301346,0,1,0.2,0.0543984953057485,0.1514486207156035
0.9921479444018765,0.9327149613235213,1,1,0.2,0.053556924751440596,0.15609984357682172
0.9920116485111774,0.949165798616248,2,1,0.2,0.0537021212915512,0.13699771243898376
0.9924246396775412,0.9378612931043269,3,1,0.2,0.05196631237910144,0.14883583611814089
0.9917886231975678,0.9481743035986634,4,1,0.2,0.05401963536520064,0.13753012749824287
0.9637547001210659,0.756640532029692,0,2,0.01,0.1187993925201714,0.29725739657764005
