,label,percentage,true_percentage,mean_R2,std_R2,mean_RMSE,std_RMSE,source
0,0,0.01,0.4,0.6129840612411499,0.051489968614777205,0.3725048765489122,0.02419890632891021,No_SS
1,0,0.02,0.8,0.643782639503479,0.04286032321765848,0.3575383880867177,0.020815114472394612,No_SS
2,0,0.04,1.6,0.7249403429031372,0.04294343759536501,0.3137961051899104,0.023690137864434756,No_SS
3,0,0.1,4.0,0.9057263898849487,0.02991519480948613,0.1819845984942018,0.028713478836717304,No_SS
4,0,0.2,8.0,0.9694953179359436,0.005812669953588816,0.10436570476152646,0.009691957427936358,No_SS
5,0,0.01,0.4,0.6362463068962098,0.05256825459347837,0.36092727594673485,0.02485709011049557,N-SSL
6,0,0.02,0.8,0.7414613962173462,0.04846726209575092,0.30385653408733915,0.027206235943300756,N-SSL
7,0,0.04,1.6,0.8390048766136169,0.025704493163606103,0.24000385692503992,0.01932093006994437,N-SSL
8,0,0.1,4.0,0.9444528675079346,0.009554038154921436,0.1409254520907762,0.012158645201351646,N-SSL
9,0,0.2,8.0,0.9742336773872375,0.004209199816902756,0.09602509421021325,0.007636137898881459,N-SSL
10,0,0.01,0.4,0.6956540369987487,0.03955353708437057,0.3303480785268046,0.021701917048105035,NG-SSL
11,0,0.02,0.8,0.763981761932373,0.03319095473337189,0.2908270502514094,0.01997009650851723,NG-SSL
12,0,0.04,1.6,0.8527787089347839,0.030188622916623425,0.2291056521681874,0.02343013557049527,NG-SSL
13,0,0.1,4.0,0.9547077298164368,0.007160901334981139,0.12733345083015388,0.010229688851457513,NG-SSL
14,0,0.2,8.0,0.9770452451705932,0.003491756820024487,0.0906669689530496,0.00699929425936087,NG-SSL
