,finetune_percentage,r2_mean,r2_std,rmse_mean,rmse_std,real_percentage in %
0,0.01,0.7724634958563937,0.0209794183961457,0.2847190983435904,0.013332049736519651,0.4
1,0.02,0.8261637075325646,0.011575881514523706,0.248969776846105,0.008208966057103844,0.8
2,0.04,0.8725441277436876,0.005759482355823878,0.21325235432901699,0.004896491659248742,1.6
3,0.1,0.9158680266024154,0.0033523746808419115,0.17326640856162676,0.0034577511288114535,4.0
4,0.2,0.9417193856353118,0.004401603593940963,0.14413183477269395,0.005328147583055693,8.0
