,finetune_percentage,r2_mean,r2_std,rmse_mean,rmse_std,real_percentage in %
0,0.01,0.8196938604704265,0.020828874650147284,0.25329573065031336,0.014426334414621655,0.4
1,0.02,0.8654055855897457,0.010236763136542103,0.21903930639968758,0.008343196063026062,0.8
2,0.04,0.9045606035603624,0.004724904932010781,0.1845164965236766,0.00421589755271919,1.6
3,0.1,0.9360692958055,0.0018333751325663426,0.151054880200188,0.0023512161272317323,4.0
4,0.2,0.9520427272847195,0.0017417105957351804,0.13082107183180813,0.0024537650229700426,8.0
